run_id,date,turn,subturn,agent_id,news_depth,fake_public_id,fake_synthetic_id,fake_title,related_event,misinformation_type,sources,base_exposed,read_exposed,search_exposed,selected_by_agent,news_sentiment,action,quantity,belief_summary,decision_reason
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A001,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,50,"실적 기반 가치투자 원칙 유지하되, 파업 리스크로 인한 단기 변동성에는 주의해야 함.","300 조 영업이익 전망에 따른 내재가치 저평가 구간이며, 악재에도 주가가 반등한 점은 시장이 실적을 중시한다는 신호로 판단. 평균 매수 단가 하향을 통해 장기 가치 투자 원칙에 따라 추가 매수."
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A004,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,5,파업설 리스크와 기술적 반등 신호가 공존하는 혼란스러운 상황. MA20 회복을 확인했으나 뉴스 악재로 신중한 접근 필요.,"MA20 회복과 거래량 증가로 기술적 반등 신호 확인, 손실 구간에서 매수 경향 (처분효과) 에 따라 저가 매수 시도. 다만 뉴스 리스크와 현금 부족으로 방어적 접근."
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A002,0,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,base,True,False,False,False,neutral,sell,50,,"주가 급등 (13%) 에 호재 부재로 밸류에이션 매력도 하락, 5 일 이동평균선 저항 근접. 여전히 손실 구간이므로 이성적 손절 (부분 매도) 로 리스크 축소 및 현금 비중 유지."
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A003,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,sell,1,"거시 악재 해소로 주가 반등 확인되었으나, 노사 파업은 실체적 리스크로 남아 신중해야 함. 저평가 매수 기회이나 현금 부족으로 관망.","fallback_decision_after_invalid_llm_output: the model failed to return a valid decision after retry, so the system submitted a minimal valid sell order."
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A006,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,50,"기술적 반등 신호가 나왔으나, 노사 파업설이라는 근본적 악재로 인해 매수 타이밍을 재고함. 현금 보유를 유지하며 추가 하락 시 매수 기회 탐색.",MA20 회복 신호 확인했으나 파업설 악재로 소량 매수하여 추이 관찰
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A008,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read",True,True,False,False,mixed,buy,5,"노사 리스크와 기술적 반등 사이에서 혼란스럽지만, MA20 회복을 확인했으므로 단기 반등 추세를 믿고 관망. 손실 회복을 위한 기회로 삼을지 고민.",MA20 지지 확인 및 고위험 선호 성향에 따른 단기 반등 기회 포착. 현금 부족으로 수량 제한적 매수.
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A007,2,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, search",True,True,True,False,mixed,buy,100,"실적 호재는 내재가치를 입증하나, 파업 리스크는 단기 변동성을 유발합니다. 안전마진 확보를 위해 현금 보유를 유지하되, 리스크 소멸 시 매수 기회를 모색합니다.","실적 호재로 내재가치 대비 저평가 구간이나, 파업 리스크로 인한 변동성 확대를 고려하여 소량 매수합니다."
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A005,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,10,,노사 문제 리스크가 있으나 메모리 슈퍼사이클과 AI 수요로 실적 회복 기대감이 우세하여 가치 투자 관점에서 소량 매수합니다.
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A010,1,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, read, selected",True,True,False,True,mixed,buy,22,,"현재가 195,000 원은 내재가치 대비 저평가 구간이며, 기술적 지지선 (20 일선) 을 상회하여 반등 지속성이 확인됨. 평균 매수 단가 하향을 통해 손실 축소 및 수익 전환 가능성 확보."
simulation_20260715_bearish_30_20260227_20260601,2026-03-05,7,am,A009,0,news_20260305_종목_a8dc6d4a,phasefake_20260305_M01_R,"삼성전자 노사협상, 반도체 생산라인 파업 일정 확정설",노사협상 결렬과 쟁의 절차,synthetic_misinformation,"base, selected",True,False,False,True,mixed,buy,50,,"기술적 지표 (거래량 증가, 20 일선 지지) 로 반등 신호 확인, 헤드라인 스캔 특성상 부정적 뉴스에도 단기 추세 추종 매수."
